 #Data,REINFORCE,sd,,,
1ns,0.22,0.05,,,
10ns,0.22,0.05,,,
100ns,0.22,0.04,,,
1us,0.22,0.04,,,
10us,0.22,0.05,,,
100us,0.24,0.06,,,
200us,2,0.24,,,
250us,7.03,0.3,,,
500us,11.19,0.27,,,
750us,12.41,0.2,,,
1ms,12.65,0.17,,,
10ms,13.33,0.01,,,
100ms,13.34,0,,,
1sec,13.33,0,,,
