#Commit Latency = (Wait Time) ,Baseline,sd,Local Replication (NF Instance),sd,Remote  Replication (Chain),sd
Chain 1,8.45,0.2,8.15,0.2,8.11,0.2
Chain 2,8.9,0.4,6.25,0.4,4.28,0.4
