#Commit Latency = (Wait Time) ,Baseline,sd,Local Replication (NF Instance),sd,Remote  Replication (Chain),sd,PicoRep,sd
Chain 1,13.84,0.01,12.67,0.02,9.1,0.54,0.1,0.01
Chain 2,6.26,0,5.97,0,5.96,0,0.12,0.01
